review_n,citekey,authors,year,title,doi,url,site,fulltext,fulltext_source,r2,nse,kge,pbias,rmse,mae,other_metrics,metric_excerpt,vpr_variable,vpr_variable_excerpt,vpr_location,vpr_location_excerpt,control_rule,control_rule_excerpt,open_inputs_or_code,open_excerpt,cal_val_split,cal_val_excerpt,vpr_reconstruct,vpr_reconstruct_reason,in_table2,table2_r2,table2_params,table2_r2_is_w2_obs_sim_skill,notes
12,mesquita_limaneto_2022,"Mesquita, J.B.d.F.; Lima Neto, I.E.",2022,Coupling Hydrological and Hydrodynamic Models for Assessing the Impact of Water Pollution on Lake Evaporation,10.3390/su142013465,https://doi.org/10.3390/su142013465,"Santo Anastacio Lake, Fortaleza, Brazil",true,MDPI HTML (WebSearch),true,true,false,false,false,false,mean_deviation (SWMM),"SWMM flow cal 2013-2014: NSE=0.86 R2=0.96 MD=29%; val 2018-2019: NSE=0.73 R2=0.94 MD=38%. Table-2 R2=0.76 is K vs complete-mix TP (dry), not W2 obs-sim skill. W2 itself inherited from Mesquita et al. 2020.",partial,"W2 used for hydrodynamics/evaporation; TP generated by complete-mix and empirical wind models, not extracted as a named W2 TSR/PRF column.",partial,"Grid: 32 longitudinal segments 29 m, 0.2 m layers. Comparison of W2 WQ vs observations is not re-specified; TP-K correlations are lake-level, not cell-level.",NA,No selective withdrawal/TDG/controller. Not an operations paper.,false,No W2 input deck or code archive stated.,inherited,W2 'calibrated and validated in a previous study' (Mesquita 2020). SWMM has explicit cal/val split.,no,This paper does not identify which W2 output file/column/I/K was compared to observations; W2 skill is not the reported R2.,true,0.76,Total Phosphorus (TP),false,"Table 2 value is complete-mix TP vs Class A pan K in the dry season, not CE-QUAL-W2 goodness-of-fit."
13,rocha_etal_2022,"Rocha, S.M.G.; Rocha, M.d.J.; Araujo, G.M.; Becker, H.; Lima Neto, I.E.",2022,Seasonal and interannual variability of residence time and total phosphorus in a small hypereutrophic lake in the Brazilian northeast,10.17159/wsa/2022.v48.i3.3893,https://doi.org/10.17159/wsa/2022.v48.i3.3893,"Lake Santo Anastacio, Fortaleza, Brazil",true,Water SA PDF (watersa.net),true,false,false,false,false,false,none_for_W2_obs_sim,R2=0.83 complete-mix RT vs W2 RT (model-model). Inlet TP vs Q power-law R2=0.70 (Table 2). Combined complete-mix TPout vs measured outlet R2=0.60. No NSE/KGE/PBIAS/RMSE for W2 vs observations.,partial,W2 used for residence time; TP handled by complete-mix. W2 output file/column for RT not named.,partial,Inlet and outlet of LSA named; Table 1 segments 'Uninformed'. No W2 I/K for the RT comparison.,NA,No control-rule/TDG/selective withdrawal.,false,No input files or code.,inherited,W2 previously calibrated/validated (Mesquita 2020).,no,"Cannot rebuild a W2 obs-sim series; Table 2 R2 is an empirical TP-Q fit, not W2 skill.",true,0.70,Total Phosphorus (TP),false,"Table 2 R2=0.70 is TPin vs inflow power-law, not W2 vs field TP."
14,deus_etal_2013,"Deus, R.; Brito, D.; Mateus, M.; Kenov, I.; Fornaro, A.; Neves, R.; Alves, C.N.",2013,"Impact evaluation of a pisciculture in the Tucurui reservoir (Para, Brazil) using a two-dimensional water quality model",10.1016/j.jhydrol.2013.01.022,https://doi.org/10.1016/j.jhydrol.2013.01.022,"Tucurui Reservoir, Para, Brazil",false,abstract + review Table 1; OpenAlex green OA listed but no PDF URL,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Abstract/publisher page do not quote R2/NSE/RMSE. Review Table 1: calibrated with 2007-2011 data. Neto 2023 cites a similar calibration procedure in Deus et al. 2013b; metrics not copied here.,unknown,"Constituents listed in Table 1 (T, NO3, NH3, P, SST, DO, Chl-a) but output file/column not available without full text.",partial,Review Table 1 gives three branches and segment lengths; comparison station/layer not in abstract.,NA,"Fish-farm loading scenarios, not W2 internal controller/TDG.",unknown,USP repository marks green OA; PDF URL not retrieved.,no,Review: calibrated 2007-2011; no separate validation period stated.,unknown,Full text not obtained; abstract insufficient.,false,,,NA,Not in Table 2. Do not confuse with Deus et al. 2013 Ecological Modelling 3-D MOHID paper on the same reservoir.
18,hanjaniamin_etal_2023,"Hanjaniamin, A.E.; Tabrizi, M.S.; Babazadeh, H.",2023,"Dissolved oxygen concentration and eutrophication evaluation in Yamchi dam reservoir, Ardabil, Iran",10.1007/s13201-022-01786-1,https://doi.org/10.1007/s13201-022-01786-1,"Yamchi Dam, Balkhlichai River, Iran",true,Springer OA HTML,false,false,false,false,true,true,AME (absolute mean error); waterbal-ivf37.exe water-level errors,"GOF is AME and RMSE (Eqs 6-7) for geometry, WSE, T, DO. Tables 3-4: AME for T and DO in calibration and validation. Review Table 2 R2=0.6781 is NOT this GOF: review §3.7 says 0.6781 is air temperature vs inflow water temperature.",partial,"Compares simulated vs observed T and DO; W2 output file/column not named. Eutrophication also discussed via TP and Chl-a criteria, not necessarily W2 skill.",partial,"Grid: 28 segments x 200 m, 32 layers x 2 m. Thermal difference 'in the vicinity of the dam axis'. Exact I/K for AME tables not stated as segment numbers.",NA,"Diagnostic DO/eutrophication study, not controller/TDG.",false,No input deck. Mentions waterbal-ivf37.exe (W2 utility).,yes,Tables 3-4 report separate calibration and validation AME for T and DO. Simulation period May 2015-Apr 2016.,partial,Constituents and error metrics known; I/K and output file not uniquely specified.,true,0.6781,DO,false,"CRITICAL Table 2 error: 0.6781 is inflow-T vs air-T correlation, tabulated as DO skill."
21,debele_etal_2008,"Debele, B.; Srinivasan, R.; Parlange, J.Y.",2008,Coupling upland watershed and downstream waterbody hydrodynamic and water quality models (SWAT and CE-QUAL-W2) for better water resources management in complex river basins,10.1007/s10666-006-9075-1,https://doi.org/10.1007/s10666-006-9075-1,"Cedar Creek Watershed and Reservoir, USA",false,publisher abstract + review text,unknown,unknown,unknown,unknown,unknown,unknown,review quotes R (correlation) = 0.906 for T and DO,"Review §3.6: 'calibration of CE-QUAL-W2, focusing on temperature and dissolved oxygen, with an R of 0.906'. Table 2 lists this as R2=0.906. Whether the original paper reported R or R2 was not verified (full text closed).",partial,"Review: T and DO. Also Table 1 lists TSS, PO4, NO3/NO2, NH4/NH3, LDOM, RDOM, LPOM, RPOM, CBOD, blue-green algae, DO.",unknown,"Grid: eight branches, 37 segments, max 25 layers (review Table 1). Comparison station/layer unknown.",NA,"Watershed-reservoir coupling, not TDG/controller.",false,No OA input deck found.,unknown,"Review: SWAT calibrated results used as W2 input, 1997-2001. Split not stated.",no,"Closed full text; grid described, pairing I/K/file not available.",true,0.906,"DO, Temperature",unknown,"Review itself calls this R not R2 in §3.6, then Table 2 labels it R2. Most-cited paper in the review (92 citations)."
22,masoumi_etal_2023,"Masoumi, F.; Masoumzadeh Sayyar, S.; Valizadeh, P.; Nikoo, M.R.; Al-Nuaimi, A.; Sana, A.",2023,"Developing an uncertainty-based auto-calibrated reservoir eutrophication model: a case study of Karkheh Dam, Iran",10.1007/s13762-023-04990-x,https://doi.org/10.1007/s13762-023-04990-x,"Karkheh Reservoir, Iran",false,Aalto research portal abstract,unknown,unknown,unknown,unknown,true,unknown,p-factor: 76% of measured data in 95% CI (SUFI-2),"SUFI-2 vs PSO: 11, 12.8, 10, 14.7, 37.5% lower RMSE for DO, TP, NH4, NO3-NO2, Chl-a. 76% of measured data in 95% CI. R2/NSE/KGE not quoted in available abstract.",partial,"RMSE reported separately for DO, TP, NH4, NO3-NO2, Chl-a. Output file/column not stated.",unknown,"Review grid: 66 segs, 55 layers. Comparison I/K unknown.",NA,"Auto-calibration of eutrophication, not TDG/controller.",false,No public W2 deck found.,unknown,Review: SUFI-2 auto-cal May-Dec 2005. Validation split not in abstract.,no,Constituents and RMSE known; I/K/file unknown.,false,,,NA,Review infers 'this efficiency suggests a high R2' without quoting one. Do not treat inferred R2 as reported.
23,neto_2023,"Lima Neto, I.E.",2023,"Modeling water quality in a tropical reservoir using CE-QUAL-W2: handling data scarcity, urban pollution and hydroclimatic seasonality",10.1590/2318-0331.282320230003,https://doi.org/10.1590/2318-0331.282320230003,"Santo Anastacio Reservoir, Fortaleza, Brazil",true,SciELO HTML,true,false,false,true,false,false,RD (average relative deviation) as objective; sensitivity ±50%,"Cal 2013 linear-inlet: RD=28%, PBIAS=-19%, R2=0.32 for DO/Chla/PO4 (Table 2). Val 2019 PO4 linear: RD=29%, PBIAS=-10%, R2=0.41. NSE and KGE not used. Objective was min RD.",partial,"T, DO, Chla, PO4 kept as W2 state variables; source/sink simplified (Eqs 2-4). Output file/column (TSR vs PRF) not named. Mentions CE-QUAL-W2 input files.",yes,Inlet/outlet measurements = second cell of segments 2 and 31 (Figure 1). Calibration vs outlet (segment 31).,NA,No selective withdrawal/TDG.,false,No archived input deck.,yes,Calibrate 2013 T/Chla/PO4/DO; validate 2019 PO4 only.,yes,"I=31 (outlet) / I=2 (inlet), 'second cell', constituents T/DO/Chla/PO4, 2013/2019. Remaining gaps: exact layer index convention, output file name, pairing tolerance. Coded yes at operational VPR level (same series could be targeted).",true,0.32,"DO, Chlorophyll-a, PO4",true,Clearest Table 2 entry that is actually W2 vs field skill. R2=0.32 is the linear-inlet calibration composite.
24,mesquita_etal_2020,"Mesquita, J.B.d.F.; Lima Neto, I.E.; Raabe, A.; de Araujo, J.C.",2020,The influence of hydroclimatic conditions and water quality on evaporation rates of a tropical lake,10.1016/j.jhydrol.2020.125456,https://doi.org/10.1016/j.jhydrol.2020.125456,"Santo Anastacio Lagoon, Fortaleza, Brazil",true,UFC repository PDF,true,false,false,false,false,false,mean_deviation of evaporation,"Wind-function cal vs 2013 calculated evaporation; val 2018: MD=18%, R2=0.74. Default W2 wind function R2=0.71 (2013) and 0.36 (2018). Table 2 R2=0.41 is K vs TP in dry period, not W2 vs field TP.",partial,"W2 evaporation and temperature. TP used as field/empirical covariate of pan K, not demonstrated as a named W2 output column.",partial,"Grid 32 x 29 m segments, 0.2 m layers. T discussed at surface, 2.8 m, 5 m. Segment I for those depths not numbered.",NA,"Evaporation/hydrodynamics, no controller.",false,No input deck.,yes,Calibrate evaporation 2013; validate 2018.,partial,Depths for T given; I and output file not given. Table 2 metric is not W2 skill.,true,0.41,Total Phosphorus (Dry Period),false,Parent calibration for [12] and [13]. Table 2 uses K-TP correlation.
25,ijaz_etal_2022,"Ijaz, U.; Xingxing, Z.; Ayub, H.; Zaiqiang, C.; Siqian, Q.; Niaz, A.",2022,"Implications of evolution of circulation patterns on nutrients regime from 2008-2018, in Xiangxi Bay of the Three Gorges Reservoir, China",10.2166/ws.2022.274,https://doi.org/10.2166/ws.2022.274,"Xiangxi Bay, Three Gorges Reservoir, China",false,Crossref abstract (IWA PDF OA listed; Cloudflare blocked fetch),unknown,unknown,unknown,unknown,unknown,unknown,unknown,Abstract reports TN/TP changes by reach and month; no R2/NSE/RMSE quoted. Review Table 1 says calibrated and validated in this study.,partial,"TN, TP, circulation patterns; euphotic-zone TN discussed. File/column unknown.",partial,"Abstract: upper, middle, lower reaches; euphotic zone. Review grid: 64 segs 500-1000 m. I/K unknown.",not_mentioned,Three Gorges / upstream dam operations affect circulation; W2 controller/TDG state not mentioned in abstract.,unknown,IWA hybrid OA PDF URL exists but was not retrieved here.,unknown,Review: calibrated and validated; 2008-2018. Split not in abstract.,unknown,OA PDF not fetched; abstract has reaches but not I/K/file.,false,,,NA,Largest site in the review (TGR). Full text is hybrid OA at IWA but fetch failed.
26,almeida_etal_2023,"Almeida, M.; Rebelo, R.; Costa, S.; Rodrigues, A.; Coelho, P.",2023,Long-Term Water Quality Modeling of a Shallow Eutrophic Lagoon with Limited Forcing Data,10.1007/s10666-022-09844-3,https://doi.org/10.1007/s10666-022-09844-3,"Lagoa das Furnas, Sao Miguel, Azores, Portugal",false,publisher landing + review,true,unknown,unknown,unknown,unknown,unknown,unknown,"Review §3.6: SWAT R2=0.64; W2 calibrated for water level, temperature, and DO with R2=0.92. NSE/KGE not quoted. Table 1 year printed 2022; Crossref issued 2023.",partial,"Review: WL, T, DO (and Table 1 lists many more simulated constituents). File unknown.",unknown,"Grid: 8 segments, 24 layers 0.5 m. Comparison station unknown.",NA,"Long-term lagoon WQ, not TDG/controller.",false,"No OA deck found (same group later published GMD 2025 Zenodo, which is NOT this paper).",unknown,"Review: W2 and SWAT calibrated in this study, 2000-2019. Split unknown.",unknown,Closed full text; R2 quoted by review for WL/T/DO without I/K.,true,0.92,"Water Level, Temperature, DO",unknown,Table 1 says Almeida et al. (2022); Crossref year 2023. Do not confuse with Almeida & Coelho GMD 2025.
